page,saved_as,links_found
https://certiminds.com,home.html,23
https://certiminds.com/build-your-team,build-your-team.html,20
https://certiminds.com/build-your-career,build-your-career.html,19
https://certiminds.com/our-launchpad,our-launchpad.html,22
https://certiminds.com/about-us,about-us.html,19
https://certiminds.com/contact,contact.html,20
https://certiminds.com/login,login.html,0
https://certiminds.com/lets-talk,lets-talk.html,17
https://certiminds.com/privacy-policy,privacy-policy.html,13
https://certiminds.com/terms-of-use,terms-of-use.html,14
